OpenJPA 2,3,0 openjpa land;;;;;OpenJPA 2,4,1 openjpa land;;;;;diff;Diff (%)
org,apache,openjpa,meta,ValueMetaDataImpl,getTypeCode();20;3951;;;org,apache,openjpa,meta,ValueMetaDataImpl,getTypeCode();20;3556;;0;-395;-11,1079865017
org,apache,openjpa,jdbc,meta,ClassMapping,assertStrategy();20;3160;;;org,apache,openjpa,jdbc,meta,ClassMapping,assertStrategy();20;3557;;0;397;11,1610908069
org,apache,openjpa,kernel,PNonTransState,isPersistent();20;1185;;;org,apache,openjpa,kernel,PNonTransState,isPersistent();20;2370;;0;1185;50
org,apache,openjpa,kernel,StateManagerImpl,isPersistent();20;13825;;;org,apache,openjpa,kernel,StateManagerImpl,isPersistent();20;11456;;0;-2369;-20,6791201117
org,apache,openjpa,jdbc,sql,SelectImpl$SelectResult,findObject(java,lang,Object,org,apache,openjpa,jdbc,sql,Joins);20;222420;;;org,apache,openjpa,jdbc,sql,SelectImpl$SelectResult,findObject(java,lang,Object,org,apache,openjpa,jdbc,sql,Joins);20;88890;;0;-133530;-150,2193722578
org,apache,commons,collections,map,AbstractHashedMap,getEntry(java,lang,Object);20;49781;;;org,apache,commons,collections,map,AbstractHashedMap,getEntry(java,lang,Object);20;47800;;0;-1981;-4,1443514644
org,apache,commons,collections,map,AbstractReferenceMap,getEntry(java,lang,Object);20;59656;;;org,apache,commons,collections,map,AbstractReferenceMap,getEntry(java,lang,Object);20;56492;;0;-3164;-5,6007930326
org,apache,openjpa,kernel,StateManagerImpl,postLoad(int,org,apache,openjpa,kernel,FetchConfiguration);20;22913;;;org,apache,openjpa,kernel,StateManagerImpl,postLoad(int,org,apache,openjpa,kernel,FetchConfiguration);20;14618;;0;-8295;-56,74510877
org,apache,openjpa,jdbc,meta,strats,PrimitiveFieldStrategy,getColumns();20;19359;;;org,apache,openjpa,jdbc,meta,strats,PrimitiveFieldStrategy,getColumns();20;19361;;0;2;0,0103300449
org,apache,openjpa,jdbc,sql,ResultSetResult,translate(java,lang,Object,org,apache,openjpa,jdbc,sql,Joins);20;235851;;;org,apache,openjpa,jdbc,sql,ResultSetResult,translate(java,lang,Object,org,apache,openjpa,jdbc,sql,Joins);20;98372;;0;-137479;-139,7541983491
org,apache,openjpa,kernel,FetchConfigurationImpl,hasFetchGroupDefault();16;790;;;org,apache,openjpa,kernel,FetchConfigurationImpl,hasFetchGroupDefault();16;2766;;0;1976;71,43890094
org,apache,openjpa,kernel,FetchConfigurationImpl,requiresFetch(org,apache,openjpa,meta,FieldMetaData);16;86912;;;org,apache,openjpa,kernel,FetchConfigurationImpl,requiresFetch(org,apache,openjpa,meta,FieldMetaData);16;116935;;0;30023;25,6749476205
org,apache,openjpa,kernel,FetchConfigurationImpl,includes(org,apache,openjpa,meta,FieldMetaData);16;74271;;;org,apache,openjpa,kernel,FetchConfigurationImpl,includes(org,apache,openjpa,meta,FieldMetaData);16;100739;;0;26468;26,2738363494
org,apache,openjpa,kernel,ExpressionStoreQuery$DataStoreExecutor,getQueryExpressions();15;1580;;;org,apache,openjpa,kernel,ExpressionStoreQuery$DataStoreExecutor,getQueryExpressions();15;2765;;0;1185;42,8571428571
org,apache,openjpa,kernel,FetchConfigurationImpl,getExtendedPathLookup();15;3555;;;org,apache,openjpa,kernel,FetchConfigurationImpl,getExtendedPathLookup();15;3556;;0;1;0,0281214848
org,apache,openjpa,kernel,FetchConfigurationImpl,hasFetchGroupAll();14;3161;;;org,apache,openjpa,kernel,FetchConfigurationImpl,hasFetchGroupAll();14;2765;;0;-396;-14,321880651
org,apache,openjpa,kernel,FetchConfigurationImpl,hasField(java,lang,String);14;2371;;;org,apache,openjpa,kernel,FetchConfigurationImpl,hasField(java,lang,String);14;2765;;0;394;14,2495479204
org,apache,openjpa,kernel,FetchConfigurationImpl,hasExtendedLookupPath(org,apache,openjpa,meta,FieldMetaData);14;11850;;;org,apache,openjpa,kernel,FetchConfigurationImpl,hasExtendedLookupPath(org,apache,openjpa,meta,FieldMetaData);14;12249;;0;399;3,2574087681
org,apache,openjpa,jdbc,identifier,DBIdentifier,getType();13;790;;;org,apache,openjpa,jdbc,identifier,DBIdentifier,getType();13;790;;0;0;0
org,apache,openjpa,kernel,ExpressionStoreQuery$AbstractExpressionExecutor,assertQueryExpression();13;7111;;;org,apache,openjpa,kernel,ExpressionStoreQuery$AbstractExpressionExecutor,assertQueryExpression();13;9086;;0;1975;21,7367378384
org,apache,openjpa,jdbc,identifier,DBIdentifier,isNull(org,apache,openjpa,jdbc,identifier,DBIdentifier);12;4740;;;org,apache,openjpa,jdbc,identifier,DBIdentifier,isNull(org,apache,openjpa,jdbc,identifier,DBIdentifier);12;6717;;0;1977;29,4327824922
org,apache,openjpa,kernel,QueryImpl,lock();12;1581;;;org,apache,openjpa,kernel,QueryImpl,lock();12;2370;;0;789;33,2911392405
org,apache,commons,collections,map,AbstractHashedMap,addEntry(org,apache,commons,collections,map,AbstractHashedMap$HashEntry,int);12;2765;;;org,apache,commons,collections,map,AbstractHashedMap,addEntry(org,apache,commons,collections,map,AbstractHashedMap$HashEntry,int);12;2371;;0;-394;-16,6174609869
org,apache,commons,collections,map,AbstractHashedMap,put(java,lang,Object,java,lang,Object);12;93234;;;org,apache,commons,collections,map,AbstractHashedMap,put(java,lang,Object,java,lang,Object);12;84941;;0;-8293;-9,7632474306
org,apache,openjpa,kernel,QueryImpl,unlock();12;1581;;;org,apache,openjpa,kernel,QueryImpl,unlock();12;2370;;0;789;33,2911392405
org,apache,openjpa,jdbc,sql,SelectImpl$Selects,contains(java,lang,Object);12;4349;;;org,apache,openjpa,jdbc,sql,SelectImpl$Selects,contains(java,lang,Object);12;4741;;0;392;8,2682978275
